pmcid,revised_verdict,source,gene_count_reported,evidence
PMC9886487,likely_hit(regex),regex_scan,,"risk score = (−0.038 × expression level of USF1) + (−0.057 × expression level of SNRPA1) + (−0.019 × expression level of PIGR) + (−0.008 × expression level of MRPL15).  In the training set, low-risk patients always had longer survival times, lower ri"
PMC10709318,hit,second_coder_manual,10,LASSO筛选后经多因素Cox建立最终10基因，表格1，有公式验证
PMC8872195,unreviewed_no_flag,none,,"risk score作为临床协变量,不含基因层面系数"
PMC12149082,unreviewed_no_flag,none,,"riskscore作为临床协变量,不含基因层面系数"
PMC12825148,unreviewed_no_flag,none,,"10个sheet的补充表主要是TCGA癌种缩写词典+免疫微环境分析表,未在检查过的sheet里找到基因系数模型,未逐一穷尽全部10个sheet"
PMC8607649,hit,second_coder_manual,9,LASSO-Cox最终建立9-lncRNA膀胱癌m6A-RLPS，有具体数据和公式
PMC8883700,likely_hit(regex),regex_scan,,risk score = (− 0.03323723 × expression of FAM71F1) + (0.07068792 × expression of MT1E) + (0.04196110 × expression of MYEOV).Table 3 Prognostic m6A-related genes for LUSC in TCGA and GSE43131  Gene symbol	TCGA-univariate Cox results	GEO-univariate Co
PMC10663558,likely_hit(regex),regex_scan,,"RiskScore = 0.320889050455719 * EZH2 + 0.144247872403908 * S100A9 + 0.079363749195301 * TNFRSF11B − 0.0968623157103071 * SPINK5-0.0819194509885345 * CCL21. Patients with HCC in the two cohorts had risk scores were calculated, and based on the median "
PMC11521951,likely_hit(regex),regex_scan,,Risk Score=(0.348)×Exp(RPL23)+(0.247)×Exp(PKM2)+(0.203)×Exp(MRPS12)+(−0.184)×Exp(NDUFC2)+(−0.129)×Exp(HPDL)+(−0.219)×Exp(MRPL14)+(−0.272)×Exp(COA6)+(0.253)×Exp(FGFR1OP2)+(−0.217)×Exp(RNF144B)+(0.370)×Exp(CAPN10)+(0.342)×Exp(ALDH1L1)+(−3.780)×Exp(ACSM
PMC12710123,unreviewed_no_flag,none,,"336个基因的单因素Cox筛选结果(screening阶段),不是最终模型"
PMC12998466,unreviewed_no_flag,none,,"是临床实验室指标(AFP/NLR/PLR/GPR/APRI/PNI/FLR等),完全不是基因数据"
PMC13072332,hit,second_coder_manual,2,Risk score=0.269×LPCAT1+0.33×MRPL9，有具体数据
PMC8753132,likely_hit(regex),regex_scan,,Risk Score = 0.08 × geneExp (TYMS) + 0.03 × geneExp (ADAM12) + 0.01 × geneExp (GJB2) + 0.08 × geneExp (KRT8) + 0.04 × geneExp (LYPD3) + 0.01 × geneExp (ECT2) + 0.09 × geneExp (ADM) – 0.14 × geneExp (PSTPIP1) – 0.06 × geneExp (NDRG2) – 0.05 × geneExp 
PMC11792380,likely_hit(regex),regex_scan,,Risk score = (IL-6 value * 0.05196) + (SII value * 0.00029) + (Ki-67 value * −0.01468) + (PLR value * 0.00109).  The patients were divided into low- and high-risk groups based on the median risk score. Survival curves were analyzed using the Kaplan–M
PMC11961922,hit,second_coder_manual,14,给出14个最终CpG特征及各自系数，有公式验证
PMC9589509,likely_hit(regex),regex_scan,,risk score = (0.136) × PFKFB4 expression + (0.042) × EDNRA expression + 0.169 × GSN expression +(-0.013) × GAS1 expression + (0.065) × PAPPA expression + (0.134) × DTL expression + (0.018) × TGFBI expression + (0.036) × PRSS8 expression + (−0.134) × 
PMC9246616,unreviewed_no_flag,none,,"figure legends only (expression validation figures), no coefficient table captured"
PMC11031923,hit,second_coder_manual,2,Risk score = −0.1918×ERLIN2 + 0.5254×CDK5RAP3
PMC9382191,unreviewed_no_flag,none,,"univariate + multivariate Cox tables for clinical variables (age/gender/stage) with 'Risk' as a single composite score, not the underlying gene-level coefficients of the risk model itself"
PMC9246272,hit,second_coder_manual,5,HCC m7G相关模型经LASSO最终确定WDR4、EIF4E、NCBP1、NCBP2、NUDT1五基因，图片2f有具体数据
PMC9229147,unreviewed_no_flag,none,,"figure legends only (PPI network, CAF-correlation figures), no coefficient table captured"
PMC13140166,miss,second_coder_manual,6？,最终使用LUM、DCN、SFRP2、CCDC80、SFRP4、GREM1六个基因构建CRC预后模型，无公式，也不是系数加权计算
PMC13053443,hit,second_coder_manual,11,LASSO-Cox从候选CAF膜基因中得到11个非零系数基因，有具体数据
PMC12479282,likely_hit(regex),regex_scan,,Risk score=(0.166×expression of LARS1)+(0.130×expression of TXNRD1)-(0.107×expression of GOT2)+(0.101×expression of NAALAD2)-(0.076×expression of CSAD)+(0.069×expression of SMOX)-(0.061×expression of ACAT1)-(0.058×expression of FTCD)+(0.039×expressio
PMC11153201,unreviewed_no_flag,none,,"univariate Cox screening table (98 genes), pre-selection stage not final multivariate/LASSO model"
PMC8556945,unreviewed_no_flag,none,,"univariate Cox screening table for individual lncRNAs (training-cohort DFS association), pre-selection stage not final model"
PMC8298711,likely_hit(regex),regex_scan,,"Risk score = 0.060 × hsa_circ_0000280 + 0.004 × hsa_circ_0000437 + 0.032 × hsa_circ_0001085 − 0.006 × hsa_circ_0002100 − 0.075 × hsa_circ_0001747. The essential information of these five circRNAs is shown in Table 2. Then, patients were divided into "
PMC7789410,hit,second_coder_manual,9,risk score = (− 0.000113463 × expression level of TP53) + (− 0.000547732× expression level of RAE1) + (0.000969504× expression level of RFC2) + (− 0.000234564 × expression level of TAF10) + (− 0.001461235 × expression level of DDB2) + (0.000779442 × expression level of UMPS) + (− 0.001201708 × expression level of TAF12) + (0.000378192 × expression level of ERCC2) + (− 7.04E-05× expression level of SEC61A1). 
PMC13229660,unreviewed_no_flag,none,,"univariate/multivariate Cox table for clinical variables with 'Risk score' as a single composite predictor, not the underlying gene-level coefficients"
