PMCID,model_id,标题,癌种(归因参考图谱),参考数据集,基因数,K_细胞类型数,众数细胞类型,众数细胞类型大类,二项检验p值,FDR校正q值,FDR<0.05显著,基因数<6检验功效不足,候选池同义重复,来源批次
PMC10022822,PMC10022822,Comprehensive analysis of autophagy-related clusters and individual risk model for immunotherapy response prediction in gastric cancer,胃癌,GSE167297,4,9,DC,Immune_Hematopoietic,0.3757049230300259,0.393929,False,True,False,miss_pool_recovery_173
PMC10043308,PMC10043308,Development and validation of a combined hypoxia and ferroptosis prognostic signature for breast cancer,乳腺癌,GSE176078,10,9,Cancer Epithelial,Malignant,0.0905965326991262,0.180551,False,False,False,miss_pool_recovery_173
PMC10056698,PMC10056698,A Five Glutamine-Associated Signature Predicts Prognosis of Prostate Cancer and Links Glutamine Metabolism with Tumor Microenvironment,前列腺癌,PRAD_GSE172301,5,9,SMC,Stromal_Vascular,0.4450710426933563,0.454284,False,True,False,miss_pool_recovery_173
PMC10125743,PMC10125743,Glycolytic Genes Predict Immune Status and Prognosis Non-Small-Cell Lung Cancer Patients with Radiotherapy and Chemotherapy,非小细胞肺癌,NSCLC_GSE131907,3,3,CD8T,Immune_Hematopoietic,0.2592592592592592,0.318594,False,True,False,miss_pool_recovery_173
PMC10290322,PMC10290322,Development and validation of a two glycolysis-related LncRNAs prognostic signature for glioma and in vitro analyses,胶质瘤,Glioma_GSE131928,34,8,MES-like Malignant,Malignant,5.003528889017496e-06,0.000234,True,False,False,miss_pool_recovery_173
PMC10522364,PMC10522364,NRP1 regulates autophagy and proliferation of gastric cancer through Wnt/β-catenin signaling pathway,胃癌,GSE167297,22,9,Fibroblasts,Stromal_Vascular,0.0003297448798644,0.005352,True,False,False,miss_pool_recovery_173
PMC10599730,PMC10599730,Identification of an endoplasmic reticulum stress-related prognostic risk model with excellent prognostic and clinical value in oral squamous cell carcinoma,口腔鳞癌,OSCC_GSE172577,3,11,Endothelial,Stromal_Vascular,0.0232907588279489,0.084996,False,True,False,miss_pool_recovery_173
PMC10616163,PMC10616163,"Seven chromatin regulators as immune cell infiltration characteristics, potential diagnostic biomarkers and drugs prediction in hepatocellular carcinoma",肝细胞癌,GSE151530,6,6,Malignant cells,Malignant,0.2632244513031549,0.318594,False,False,False,miss_pool_recovery_173
PMC10620278,PMC10620278,An endoplasmic reticulum stress-related signature could robustly predict prognosis and closely associate with response to immunotherapy in pancreatic ductal adenocarcinoma,胰腺癌,PAAD_GSE154778,8,6,Mono/Macro,Immune_Hematopoietic,0.0306564119417771,0.097891,False,False,False,miss_pool_recovery_173
PMC10662873,PMC10662873,Development of a prognostic signature based on anoikis-related genes in hepatocellular carcinoma with the utilization of LASSO-cox method,肝细胞癌,GSE151530,5,6,Malignant cells,Malignant,0.0354938271604938,0.09875,False,True,False,miss_pool_recovery_173
