PRISMA分区,条目号(参照2020),要求,适用性,本研究对应位置
标题,1,在标题中说明这是审计/方法学研究而非疗效系统综述,是,"标题为'规模化审计""XX相关""预后签名范式...'"
摘要,2,结构化摘要:背景/方法/结果/结论,是,"摘要节,含背景/方法/结果/结论四段"
引言-理由,3,说明开展本研究的科学背景与理由,是,1节引言
引言-目标,4,以PICO或等价框架明确研究问题,部分适用,"本研究非干预对照设计,以'候选基因面板是否显著集中于单一细胞类型'替代PICO,见1节结尾"
方法-纳入标准,5,报告研究纳入/排除标准及其理由,是,2.1节主题词表构建与检索策略;5节候选文献池的覆盖边界
方法-信息来源,6,列出全部信息来源及最后检索日期,是,"2.1/2.2节;PubMed E-utilities/PMC Cloud Service,见参考文献[7][8]"
方法-检索策略,7,提供至少一个数据库的完整检索式,是,"2.1节;48个过程/通路关键词×'prognostic signature'组合,脚本`01_pubmed_theme_search.py`"
方法-选择过程,8,"说明筛选方法,是否多人独立、是否使用自动化工具",是(如实说明非双人独立),2.2节:规则化脚本打分排序+单一研究者人工判断;5节明确说明这非正式inter-rater设计的局限
方法-数据提取过程,9,"说明数据提取方法,是否多人独立、是否使用自动化工具",是(如实说明非双人独立),2.2节;5节'抽取与归因的残余误差'报告了两轮独立复核抽样检验结果(19/20、14/15一致)
方法-数据条目,10,列出提取的全部结果与其他变量,是,"基因/回归系数、癌种、参考数据集、归因结果、FDR、显著性等,见2.2-2.5节及model_list_281.csv"
方法-研究偏倚风险评估,11,偏倚风险评估方法与工具,改编,"本研究以候选池同义重复核查(2.5/3.5节)、系数表重复发表排查(3.2/5节)、归因算法敏感性检验(2.4/3.3节)、miss判定完整性复查(3.6节)替代传统单篇偏倚风险工具,因为审计对象是建模流程完整性而非单篇研究的内部效度"
方法-效应量,12,效应量选择及理由,不适用,无治疗效应合成;结果量化指标为显著集中比例、H1a:H1b比
方法-合成方法,13a-f,研究综合/合成方法(含meta分析模型选择),改编,"以跨主题meta分析(2.5节)指精确二项检验+FDR校正+置换检验,而非传统效应量合并(如随机效应模型)"
方法-报告偏倚评估,14,评估小样本/发表偏倚的方法,部分适用,"3.2/4/5节报告的文献重复发表/误标癌种问题、候选池miss判定系统性缺陷,是本研究对'文献生态完整性'的
定制化审计,非传统漏斗图/Egger检验"
方法-确定性评估,15,证据确定性评估方法(如GRADE),不适用,非疗效证据分级场景
结果-研究选择,16a-b,"筛选流程数字与理由,PRISMA流程图",是,"图6(本表配套流程图,`fig6_prisma_flow.png`);3.1节"
结果-研究特征,17,纳入研究的特征列表,是,附表`model_list_281.csv`/`.md`(281个模型逐条PMCID/标题/癌种/基因数等)
结果-研究内偏倚风险,18,各研究的偏倚风险结果,改编,以表1(5例候选池同义重复案例)+`dataset_attribution_summary_21.csv`(数据集谱系覆盖度分级)呈现
结果-单个研究结果,19,各研究的单独结果,是,`model_list_281.csv`逐模型归因结果;`author_reported_corroboration_table.csv`逐案例比对
结果-综合结果,20a-d,"综合分析结果,含异质性",是,3.5/3.6节;`significant_rate_trajectory.csv`、`heterogeneity_pvalue_trajectory.csv`、`wilcoxon_stepwise_summary.csv`
结果-报告偏倚,21,报告偏倚的评估结果,是,3.2/3.6/4/5节miss判定系统性缺陷的发现与量化
结果-证据确定性,22,证据确定性结论,改编,"4节以'七点重要限定'逐条呈现证据强度边界,替代GRADE分级表"
讨论,23a-d,结果解释、局限性、结论、影响,是,4节讨论;5节局限性;6节结论
其他信息-注册,24a-c,系统综述注册号及方案偏离说明,不适用(未注册),"本研究非传统系统综述,未在PROSPERO等平台预注册;检索策略随命中率下降而迭代扩充(2.1/3.1/5节已如实说明这一探索性、非预注册的性质)"
其他信息-支持,25,经费来源及资助方角色,是,Declarations-Funding: Not applicable
其他信息-利益冲突,26,作者利益声明,是,Declarations-Competing interests: 无利益冲突声明
其他信息-数据可及性,27,数据、分析代码、其他材料的可及性,是,数据与代码可及性节;GitHub仓库 https://github.com/yunzhennan0431-maker/xx-related-signature-audit
